"NAME","income","bl","kidCh10"
"Cluster 27",146.618491754679,-48.314606741573,-51
"Cluster 8",138.216336162869,-47.887323943662,-23
"Cluster 7",71.1954334769066,-42,-32
"Cluster 3",70.6810322260647,-34.3283582089552,-34
"Cluster 9",46.7512029779378,-16.4179104477612,-16
"Cluster 21",39.5898152263636,-23.9130434782609,-30
"Cluster 2",34.4901671737289,-28.3018867924528,-32
"Cluster 37",21.8136871420972,-2.02020202020202,-20
"Cluster 32",18.5202610100845,-1.03092783505155,-4
"Cluster 38",9.70021531496715,-1.01010101010101,-11
"Cluster 36",9.14219126565852,-1.01010101010101,-2
"Cluster 31",6.63786482334869,-2.04081632653061,-2.4
"Cluster 33",3.01152820670209,-3.03030303030303,-12
"Cluster 34",-3.75457994018566,-1.03092783505155,-11
"Cluster 23",-4.54314048913597,-5.43478260869565,-13
"Cluster 28",-11.5273993339388,0,-11
"Cluster 39",-13.2057736093414,0,-14
"Cluster 29",-16.6532697426004,0,-8.6
"Cluster 30",-22.1671552887524,-1.02040816326531,-6
