"Name","Address","Group","Notes","Gender","Ethnicity","Date.Opened","Date.Closed","yrOpen","yrClose","decadeOpen","decadeClose","singleOut","lon","lat","decade"
"Cozy Corner Bar & Grill","708 Florida Ave NW Washington DC","Club/Bar","Florida Ave. at Georgia Ave., wouldn’t allow drags into the bar.  ""Largely African-American clientele, but whites who were interested in African-Americans would go there too.  It was upstairs, had a long bar, and was one of those places that looked like it could burn down easily.  ""--Brett Beemyn.  A long time hangout for the Howard University students, until the fires in April 1968.-Juicy Coleman.  Owner William Weaver and Walter Weaver.","M","African-American","1949","1968","49","68",1940,1960,"",-77.0222768,38.9164259,"pre1960"
"Nob Hill Restaurant","1101 Kenyon St NW Washington DC","Club/Bar","One of the longest continuously operating gay bars in the city, and one of the oldest African-American gay bars in the country.  Reportedly operated as private club from 1953-1957. ""Its start as a private club helps explain why it is located in a mostly residential neighborhood in Columbia Heights.""--Brett Beemyn.  Owners: James E. Jones, Leonard Kelly, Wayne Hill, Riley Campbell, and Robert Jones. Later bought by Robert Jones, who started here in 1981.  Hosted first AIDS forum in the African-American community.  One of the major sites for African-American drag shows.  Hosted male strip shows on weekends.","M","African-American","1957","2/1/2004","57","04",1950,2000,"nobHill",-77.0279377,38.9299362,"pre1960"
"Ben Bow  Restaurant (The Admiral Ben Bow)","1636 Connecticut Avenue NW Washington DC","Club/Bar","Next to the Janus Theatre, a straight bar frequented by gays, sawdust on the floor.  First owner: Spirios Kyritis.  An Irish bar run by a woman named Ellen after 1970.  Sawdust and peanut shells on the floor.  Also called the ‘Bimbo”; it was a step down from other places.  Later called Ellen’s Irish Pub.","M","","1948","1980","48","80",1940,1980,"",-77.0453127,38.9121431,"pre1960"
"Britt's Café","1211 Wisconsin Ave NW Washington DC","Club/Bar","A longtime after hours hangout, mixed straight and gay.  Owner: William Britt","M","","1928","1967","28","67",1920,1960,"",-77.0625877,38.9057089,"pre1960"
"Carroll Tavern","510 9th St NW Washington DC","Club/Bar","Carroll's ""catered to a particular gay taste for sailors, soldiers, and marines, and to the armed services' fancy for a free weekend of entertainment.""-Havilland Ferris. ""In contrast to the genteel atmosphere of Margaret's and Showboat was a bar on 9th street, a rough trade hangout.  Servicemen were very poorly paid at the time and many of them made very aggressive trade.""--Ladd Forrester.  ""On weekends the place was packed with servicemen from the Army, Marines, and especially the Navy.  A lot of servicemen went there to be picked up; civilians went there to pick them up and take them home for a weekend.  In a sense, you gave them room and board."" -- Brett Beemyn.  Owner: Solomon Chesivoir","M","","1934","1986","34","86",1930,1980,"",-77.0239915,38.8967633,"pre1960"
"Chicken Hut (Lafayette)","1720 H St NW Washington DC","Club/Bar","Named the Lafayette Chicken Hut to avoid infringing the name of a chain of local restaurants, but always known as the Chicken Hut. Ladd Forrester: ""Eventually the Chicken Hut opened across from Lafayette Square, drawing the pianist Howard away to play there instead.  Howard played there seven nights a week until one night, in the mid-1970s, he died at the bar's keyboard."" Behind the Roger Smith hotel.  ""It was the center of gay social life in the late 40s and 50s.  On Fridays and Saturdays, the place was 'packed to the rafters'.""--Brett Beemyn.  ""It was the Chicken Hut, at 1720 H St NW.  They had (bi?) weekly Sunday afternoon dances during the winter of 1961-62.  To the best of my knowledge, no special license was needed, but I'm not sure.""--Franklin E Kameny.","M","","1948","1970","48","70",1940,1970,"",-77.0405164,38.9002186,"pre1960"
"Derby Room Restaurant","1801 H Street NW Washington DC","Club/Bar","A popular gathering place in the late 50s and early 60s. ""I recall the Derby Room, at the northwest corner of 18th and H, as opening shortly after I arrived [September 1956].  The Chicken Hut was long there.  I was a frequent customer -- a ""regular"" -- at both, often going back and forth, and was there almost nightly into the early 1960s.  …It opened late in the 1950s and for many years was one of THE Washington gay bars.""--Franklin Kameny","M","","1954","1962","54","62",1950,1960,"",-77.0420107,38.9004804,"pre1960"
"Dobkins Grille","1104 8th St SE Washington DC","Club/Bar","""It was another singing bar.  They had a woman with a wonderful voice named Ruby who led the singing.  The waitresses would also sing.  Dobkins had a regular clientele.  People went to Dobkins either to be with friends or to pick up Marines.  'If you went into Dobkins off the street, just to get a drink, you would leave there in five minutes.  It was absolutely a hideous bar'.""--Brett Beemyn.  Owners:  Melvin Dobkins and Mary Schechter.  (See also entry for Bachelor’s Mill.)","M","","1949","1962","49","62",1940,1960,"",-76.994665,38.877214,"pre1960"
"Fox Lounge","3553 Mt Pleasant St NW Washington DC","Club/Bar","Mixed genders, mostly African-American and Latino club in Mt Pleasant area.  Alley area behind it was 'notorious'.  Owner: Mrs. Frances Fox.  Just Us:  “Serving meals, sandwiches and drinks in a lounge atmosphere, the Fox Lounge is predominantly a black male-oriented bar for people over 21.  Music is provided by a jukebox.  No dancing, no cover.”","M","","1958","1972","58","72",1950,1970,"",-77.0399696,38.935465,"pre1960"
"Gayety Buffet","511 9th St NW Washington DC","Club/Bar","A gathering place/hangout next to the Gayety Theatre (which became a porn theatre).  The Gayety has the distinction of being one of the two gay places ever raided by the Metropolitan Police (the other was the Uptown Restaurant).  Owner George Saslaw.","M","","1952","1964","52","64",1950,1960,"mpdRaid",-77.0239916,38.8966816,"pre1960"
"Georgetown Grill","1239 Wisconsin Ave NW Washington DC","Club/Bar","The Georgetown Grill was a gay haven in the 60s and the 70s.  Late night cruise spot.  Owner George Karafas.  Sold in 1977 to Au Pied du Cochon.  The Grill was also a performance space for the popular Red Shoes Walking troupe.  Judy, the very popular waitress/bartender, started working here in 1964 (she later worked at the Court Jester, Onyx, Cy's, and the Fireplace).  Just Us:  “One of DC’s standard gay bars, the Grill (or affectionately, Greta’s) features a jukebox in a crowded but quiet atmosphere which is easy for talking.  Drinks are notably reasonably priced.  A fine place to spend a weekend afternoon ‘window shopping’ the passersby on crowded Wisconsin Avenue, the heart of the Georgetown shopping district.  No cover, reservations, or dancing, but a steady regular crowd of loyal patrons, tourists, and college students, mostly male and all gay.  The ever popular Block is nearby.”","M","","1948","Feb-77","48","77",1940,1970,"",-77.0625875,38.9060842,"pre1960"
"Jimmie Lake’s","421 9th St NW Washington DC","Club/Bar","Was a hangout after work for the strippers who worked at the 9th St","M","","1954","1969","54","69",1950,1960,"",-77.0239951,38.8956109,"pre1960"
"Johnnie's","500 8th St SE Washington DC","Club/Bar","Johnnie's was known for its year-round Christmas tree lights and decorations.  ""A singing bar.  Johnnie's had a mixed working-class and middle-class clientele.""--Brett Beemyn.  ""Johnny's goes way back.  It was here when I arrived in 1956, and those permanent Christmas decorations were there then""—Franklin Kameny.  “In addition to the tables, there were some booths along the sides.  The dance floor was in the back corner.  It also served as the stage for the monthly contest” –Peter Jefts.  It was nicknamed the “Tinsel Palace”. Owners: John & Josephine Nocente.","M","","1949","1974","49","74",1940,1970,"",-76.9947021,38.8825763,"pre1960"
