"","name","fips","realPersonalIncome","state","county","cbsa","rpp.in.100.dollars"
"1","Abilene, TX","10180",40372,48,48441,10180,109.5290252
"2","Abilene, TX","10180",40372,48,48059,10180,109.5290252
"3","Abilene, TX","10180",40372,48,48253,10180,109.5290252
"4","Akron, OH","10420",45007,39,39133,10420,112.4859393
"5","Akron, OH","10420",45007,39,39153,10420,112.4859393
"6","Alabama (Nonmetropolitan Portion)","01999",35595,1,1027,NA,120.6272618
"7","Alabama (Nonmetropolitan Portion)","01999",35595,1,1029,NA,120.6272618
"8","Alabama (Nonmetropolitan Portion)","01999",35595,1,1005,NA,120.6272618
"9","Alabama (Nonmetropolitan Portion)","01999",35595,1,1087,NA,120.6272618
"10","Alabama (Nonmetropolitan Portion)","01999",35595,1,1035,NA,120.6272618
"11","Alabama (Nonmetropolitan Portion)","01999",35595,1,1011,NA,120.6272618
"12","Alabama (Nonmetropolitan Portion)","01999",35595,1,1013,NA,120.6272618
"13","Alabama (Nonmetropolitan Portion)","01999",35595,1,1095,10700,120.6272618
"14","Alabama (Nonmetropolitan Portion)","01999",35595,1,1017,46740,120.6272618
"15","Alabama (Nonmetropolitan Portion)","01999",35595,1,1019,NA,120.6272618
"16","Alabama (Nonmetropolitan Portion)","01999",35595,1,1047,42820,120.6272618
"17","Alabama (Nonmetropolitan Portion)","01999",35595,1,1023,NA,120.6272618
"18","Alabama (Nonmetropolitan Portion)","01999",35595,1,1025,NA,120.6272618
"19","Alabama (Nonmetropolitan Portion)","01999",35595,1,1053,NA,120.6272618
"20","Alabama (Nonmetropolitan Portion)","01999",35595,1,1133,NA,120.6272618
"21","Alabama (Nonmetropolitan Portion)","01999",35595,1,1031,21460,120.6272618
"22","Alabama (Nonmetropolitan Portion)","01999",35595,1,1059,NA,120.6272618
"23","Alabama (Nonmetropolitan Portion)","01999",35595,1,1043,18980,120.6272618
"24","Alabama (Nonmetropolitan Portion)","01999",35595,1,1037,45180,120.6272618
"25","Alabama (Nonmetropolitan Portion)","01999",35595,1,1039,NA,120.6272618
"26","Alabama (Nonmetropolitan Portion)","01999",35595,1,1041,NA,120.6272618
"27","Alabama (Nonmetropolitan Portion)","01999",35595,1,1131,NA,120.6272618
"28","Alabama (Nonmetropolitan Portion)","01999",35595,1,1045,37120,120.6272618
"29","Alabama (Nonmetropolitan Portion)","01999",35595,1,1099,NA,120.6272618
"30","Alabama (Nonmetropolitan Portion)","01999",35595,1,1049,NA,120.6272618
"31","Alabama (Nonmetropolitan Portion)","01999",35595,1,1111,NA,120.6272618
"32","Alabama (Nonmetropolitan Portion)","01999",35595,1,1105,NA,120.6272618
"33","Alabama (Nonmetropolitan Portion)","01999",35595,1,1063,NA,120.6272618
"34","Alabama (Nonmetropolitan Portion)","01999",35595,1,1057,NA,120.6272618
"35","Alabama (Nonmetropolitan Portion)","01999",35595,1,1093,NA,120.6272618
"36","Alabama (Nonmetropolitan Portion)","01999",35595,1,1121,45180,120.6272618
"37","Alabama (Nonmetropolitan Portion)","01999",35595,1,1071,42460,120.6272618
"38","Alabama (Nonmetropolitan Portion)","01999",35595,1,1091,NA,120.6272618
"39","Alabama (Nonmetropolitan Portion)","01999",35595,1,1075,NA,120.6272618
"40","Alabama (Nonmetropolitan Portion)","01999",35595,1,1129,NA,120.6272618
"41","Alabama (Nonmetropolitan Portion)","01999",35595,1,1123,NA,120.6272618
"42","Alabama (Nonmetropolitan Portion)","01999",35595,1,1109,45980,120.6272618
"43","Alabama (Nonmetropolitan Portion)","01999",35595,1,1119,NA,120.6272618
"44","Alaska (Nonmetropolitan Portion)","02999",46297,2,2164,NA,101.4198783
"45","Alaska (Nonmetropolitan Portion)","02999",46297,2,2150,NA,101.4198783
"46","Alaska (Nonmetropolitan Portion)","02999",46297,2,2240,NA,101.4198783
