"","name","area","value","footnote_codes","state","county","cbsa","rpp.in.100.dollars","ratio"
"2408","San Jose-Sunnyvale-Santa Clara, CA","0041940",28.32,NA,6,6085,41940,82.44023083,2.91102509992938
"2409","San Jose-Sunnyvale-Santa Clara, CA","0041940",28.32,NA,6,6069,41940,82.44023083,2.91102509992938
"2964","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,54,54037,47900,83.47245409,3.42521354493229
"2965","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51610,47900,83.47245409,3.42521354493229
"2966","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51157,47900,83.47245409,3.42521354493229
"2967","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51600,47900,83.47245409,3.42521354493229
"2968","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51630,47900,83.47245409,3.42521354493229
"2969","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51059,47900,83.47245409,3.42521354493229
"2970","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51187,47900,83.47245409,3.42521354493229
"2971","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51061,47900,83.47245409,3.42521354493229
"2972","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,24,24017,47900,83.47245409,3.42521354493229
"2973","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51177,47900,83.47245409,3.42521354493229
"2974","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51047,47900,83.47245409,3.42521354493229
"2975","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,24,24009,47900,83.47245409,3.42521354493229
"2976","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51685,47900,83.47245409,3.42521354493229
"2977","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,24,24031,47900,83.47245409,3.42521354493229
"2978","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,24,24033,47900,83.47245409,3.42521354493229
"2979","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51043,47900,83.47245409,3.42521354493229
"2980","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51107,47900,83.47245409,3.42521354493229
"2981","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,11,11001,47900,83.47245409,3.42521354493229
"2982","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51510,47900,83.47245409,3.42521354493229
"2983","Washington-Arlington-Alexandria, DC-VA-MD-WV","0047900",24.37,NA,51,51013,47900,83.47245409,3.42521354493229
